98734198 369764663 10939	12-18-17,1 12-18-17,1 12-18-17,1 12-18-17,1 12-18-17,1 12-18-17,4 12-18-17,1 12-18-20,1
104568145 143799673 4677	12-16-18,3 12-16-19,1 12-16-19,1 12-16-19,1 12-17-17,3 12-17-17,1 12-18-19,1 12-18-19,4 12-18-19,1 12-18-19,1 12-18-19,3 12-18-19,1 12-18-19,1 12-18-19,1 12-18-19,1 12-18-19,1 12-18-19,1
43007295 179227351 11497	12-18-19,1 12-18-19,1 12-18-19,1 12-18-19,4 12-18-19,1
92014282 84211035 12630	12-18-11,1 12-18-11,1 12-18-11,1 12-18-11,1 12-18-11,4 12-18-11,1 12-18-11,3 12-18-11,1 12-18-11,1
73427429 347914898 7572	12-17-19,3 12-17-22,1 12-17-22,1 12-17-22,1 12-17-22,1 12-17-22,1 12-17-22,1 12-17-23,1 12-17-23,1 12-18-15,1 12-18-15,1 12-18-15,1 12-18-15,1 12-18-15,4 12-18-15,1
101893207 237394043 3064	12-18-16,1 12-18-16,1 12-18-16,4 12-18-16,3
76417703 175302684 12407	12-18-08,1 12-18-08,3 12-18-08,1 12-18-08,1 12-18-09,4 12-18-15,1 12-18-15,1
24839021 365398869 4396	12-18-16,4 12-18-16,1 12-18-16,3
119737948 167074648 8254	12-18-22,1 12-18-23,4 12-18-23,1 12-18-23,1 12-18-23,1 12-18-23,1
109369720 190915057 3064	12-18-10,1 12-18-10,4 12-18-10,1 12-18-10,3 12-18-10,1 12-18-10,1 12-18-10,1 12-18-10,1
133629702 369275548 3925	12-18-21,1 12-18-22,1 12-18-22,1 12-18-22,1 12-18-22,1 12-18-22,1 12-18-23,4 12-18-23,3
104531516 218867057 8595	12-18-10,1 12-18-10,1 12-18-10,1 12-18-15,4 12-18-15,1
54143243 116454091 12067	12-18-18,4 12-18-18,1 12-18-18,1 12-18-18,1 12-18-18,1 12-18-18,1 12-18-18,1
21396810 391095619 3321	12-18-16,4
122131736 118396565 4245	12-14-22,1 12-14-22,1 12-14-22,1 12-14-22,1 12-14-22,1 12-17-20,1 12-17-20,1 12-18-06,1 12-18-06,1 12-18-15,3 12-18-15,4
139878830 81615357 12304	12-18-22,1 12-18-22,1 12-18-22,3 12-18-22,4
111289035 146534037 4778	12-18-19,4 12-18-19,3 12-18-19,1 12-18-19,1 12-18-19,1
59057916 52620306 5273	12-18-15,4 12-18-15,1 12-18-15,3 12-18-15,1 12-18-15,2 12-18-15,1 12-18-15,1 12-18-15,1 12-18-15,1
132940744 254937754 9569	12-18-11,4
134648874 34146488 7572	12-17-15,1 12-18-08,3 12-18-08,4 12-18-08,1
